CTCF,DNase,H2A,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me3,H4K20me1,Boundary
119.54000000000002,141.78000000000003,40.85,56.93000000000001,90.81,180.4,78.44999999999999,60.209999999999994,57.38,154.89,81.11000000000001,138.46,203.75,chr1:1020001:1040001	2.98
207.78000000000003,434.15,242.3,332.56,102.72999999999999,417.88,613.1500000000001,1098.74,1177.52,986.8200000000002,307.63,69.26,274.41999999999996,chr1:1240001:1260001	3.18
404.23,326.56000000000006,260.99,207.67,100.49000000000001,398.5,235.42999999999998,612.98,664.8100000000001,340.16999999999996,298.86,92.27,192.70000000000002,chr1:2330001:2350001	2.38
34.120000000000005,22.47,4.57,4.12,27.209999999999997,8.93,4.42,4.220000000000001,6.7,2.23,8.57,45.800000000000004,24.139999999999997,chr1:2670001:2690001	0.00
19.270000000000003,23.799999999999997,18.83,14.43,15.249999999999998,29.54,17.01,7.76,25.86,6.239999999999999,14.57,102.49000000000001,25.4,chr1:3980001:4000001	0.00
401.11,124.59,68.77,58.32,212.56999999999996,95.15,82.40000000000002,52.6,65.77000000000001,54.09,122.42000000000002,91.26000000000002,205.34000000000003,chr1:6090001:6110001	1.98
115.55,114.18,150.49999999999997,73.41,239.78000000000003,108.45,110.11999999999999,82.99000000000001,81.22000000000001,38.37,101.6,135.58999999999997,190.94,chr1:7070001:7090001	1.34
538.96,162.20000000000002,139.39999999999998,65.6,230.03,82.18,95.69,78.45,75.67,40.37,117.49000000000001,125.42,192.07,chr1:7710001:7730001	1.79
475.62999999999994,199.82,55.74999999999999,124.75000000000001,61.21000000000001,449.05,128.17999999999998,85.55999999999999,78.33,271.79,130.51999999999998,74.19,157.86000000000004,chr1:8030001:8050001	0.56
234.17999999999998,99.88,88.5,133.54999999999998,76.20000000000002,359.11000000000007,170.23999999999998,121.18999999999998,79.99000000000001,329.01,133.94000000000003,66.96999999999998,187.23,chr1:8420001:8440001	1.34
297.57,589.7499999999999,129.43,921.6599999999999,97.82,869.6400000000001,518.3,812.6300000000001,1004.7500000000001,1284.5700000000002,919.8300000000002,99.91,476.52,chr1:8920001:8940001	1.34
412.15,298.4,140.27,108.22,150.39999999999998,90.19,337.00999999999993,220.15,96.27000000000001,46.849999999999994,143.20000000000002,135.22000000000003,139.56,chr1:9330001:9350001	2.38
213.73,247.39999999999998,288.28,507.47,77.67,251.93,94.63,331.17,688.5400000000001,242.39,597.4499999999999,57.870000000000005,116.46,chr1:9990001:10010001	1.33
106.42,139.52,58.149999999999984,78.93999999999998,95.26,292.93,73.19,57.13,66.58000000000001,70.35000000000001,125.34999999999998,102.91,148.01,chr1:10230001:10250001	1.78
338.8,298.65,158.25,549.4900000000001,74.1,245.20000000000002,303.44999999999993,298.93,141.78,936.36,439.66999999999996,72.5,199.97000000000003,chr1:10540001:10560001	1.11
319.53000000000003,208.70999999999998,62.41,128.24,88.89999999999998,371.8999999999999,167.34,139.57,94.89999999999999,254.29,112.54999999999998,92.35,190.92,chr1:11080001:11100001	1.96
