CTCF,DNase,H2A,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K79me2,H3K9ac,H3K9me3,H4K20me1,Boundary
279.38000000000005,279.38000000000005,279.38000000000005,279.38000000000005,279.38000000000005,279.38000000000005,279.38000000000005,279.38000000000005,279.38000000000005,279.38000000000005,279.38000000000005,279.38000000000005,279.38000000000005,chr1:910001:920001
68.21,68.21,68.21,68.21,68.21,68.21,68.21,68.21,68.21,68.21,68.21,68.21,68.21,chr1:1025001:1035001
53.37999999999999,53.37999999999999,53.37999999999999,53.37999999999999,53.37999999999999,53.37999999999999,53.37999999999999,53.37999999999999,53.37999999999999,53.37999999999999,53.37999999999999,53.37999999999999,53.37999999999999,chr1:1250001:1260001
119.69999999999999,119.69999999999999,119.69999999999999,119.69999999999999,119.69999999999999,119.69999999999999,119.69999999999999,119.69999999999999,119.69999999999999,119.69999999999999,119.69999999999999,119.69999999999999,119.69999999999999,chr1:1705001:1715001
90.47999999999999,90.47999999999999,90.47999999999999,90.47999999999999,90.47999999999999,90.47999999999999,90.47999999999999,90.47999999999999,90.47999999999999,90.47999999999999,90.47999999999999,90.47999999999999,90.47999999999999,chr1:1855001:1865001
52.839999999999996,52.839999999999996,52.839999999999996,52.839999999999996,52.839999999999996,52.839999999999996,52.839999999999996,52.839999999999996,52.839999999999996,52.839999999999996,52.839999999999996,52.839999999999996,52.839999999999996,chr1:2115001:2125001
202.04000000000002,202.04000000000002,202.04000000000002,202.04000000000002,202.04000000000002,202.04000000000002,202.04000000000002,202.04000000000002,202.04000000000002,202.04000000000002,202.04000000000002,202.04000000000002,202.04000000000002,chr1:2340001:2350001
113.29999999999998,113.29999999999998,113.29999999999998,113.29999999999998,113.29999999999998,113.29999999999998,113.29999999999998,113.29999999999998,113.29999999999998,113.29999999999998,113.29999999999998,113.29999999999998,113.29999999999998,chr1:2515001:2525001
83.01000000000002,83.01000000000002,83.01000000000002,83.01000000000002,83.01000000000002,83.01000000000002,83.01000000000002,83.01000000000002,83.01000000000002,83.01000000000002,83.01000000000002,83.01000000000002,83.01000000000002,chr1:2705001:2715001
164.55,164.55,164.55,164.55,164.55,164.55,164.55,164.55,164.55,164.55,164.55,164.55,164.55,chr1:3390001:3400001
27.569999999999993,27.569999999999993,27.569999999999993,27.569999999999993,27.569999999999993,27.569999999999993,27.569999999999993,27.569999999999993,27.569999999999993,27.569999999999993,27.569999999999993,27.569999999999993,27.569999999999993,chr1:3990001:4000001
114.09000000000002,114.09000000000002,114.09000000000002,114.09000000000002,114.09000000000002,114.09000000000002,114.09000000000002,114.09000000000002,114.09000000000002,114.09000000000002,114.09000000000002,114.09000000000002,114.09000000000002,chr1:5530001:5540001
95.65,95.65,95.65,95.65,95.65,95.65,95.65,95.65,95.65,95.65,95.65,95.65,95.65,chr1:6080001:6090001
168.04000000000002,168.04000000000002,168.04000000000002,168.04000000000002,168.04000000000002,168.04000000000002,168.04000000000002,168.04000000000002,168.04000000000002,168.04000000000002,168.04000000000002,168.04000000000002,168.04000000000002,chr1:6760001:6770001
70.18,70.18,70.18,70.18,70.18,70.18,70.18,70.18,70.18,70.18,70.18,70.18,70.18,chr1:7290001:7300001
113.20000000000002,113.20000000000002,113.20000000000002,113.20000000000002,113.20000000000002,113.20000000000002,113.20000000000002,113.20000000000002,113.20000000000002,113.20000000000002,113.20000000000002,113.20000000000002,113.20000000000002,chr1:7710001:7720001
58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,58.89,chr1:8025001:8035001
97.22,97.22,97.22,97.22,97.22,97.22,97.22,97.22,97.22,97.22,97.22,97.22,97.22,chr1:8445001:8455001
97.77000000000001,97.77000000000001,97.77000000000001,97.77000000000001,97.77000000000001,97.77000000000001,97.77000000000001,97.77000000000001,97.77000000000001,97.77000000000001,97.77000000000001,97.77000000000001,97.77000000000001,chr1:8935001:8945001
60.989999999999995,60.989999999999995,60.989999999999995,60.989999999999995,60.989999999999995,60.989999999999995,60.989999999999995,60.989999999999995,60.989999999999995,60.989999999999995,60.989999999999995,60.989999999999995,60.989999999999995,chr1:11070001:11080001
56.129999999999995,56.129999999999995,56.129999999999995,56.129999999999995,56.129999999999995,56.129999999999995,56.129999999999995,56.129999999999995,56.129999999999995,56.129999999999995,56.129999999999995,56.129999999999995,56.129999999999995,chr1:11870001:11880001
79.57,79.57,79.57,79.57,79.57,79.57,79.57,79.57,79.57,79.57,79.57,79.57,79.57,chr1:12050001:12060001
178.96,178.96,178.96,178.96,178.96,178.96,178.96,178.96,178.96,178.96,178.96,178.96,178.96,chr1:12165001:12175001
69.58000000000001,69.58000000000001,69.58000000000001,69.58000000000001,69.58000000000001,69.58000000000001,69.58000000000001,69.58000000000001,69.58000000000001,69.58000000000001,69.58000000000001,69.58000000000001,69.58000000000001,chr1:12320001:12330001
7.210000000000001,7.210000000000001,7.210000000000001,7.210000000000001,7.210000000000001,7.210000000000001,7.210000000000001,7.210000000000001,7.210000000000001,7.210000000000001,7.210000000000001,7.210000000000001,7.210000000000001,chr1:13765001:13775001
198.81999999999996,198.81999999999996,198.81999999999996,198.81999999999996,198.81999999999996,198.81999999999996,198.81999999999996,198.81999999999996,198.81999999999996,198.81999999999996,198.81999999999996,198.81999999999996,198.81999999999996,chr1:15425001:15435001
51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,chr1:15845001:15855001
151.95999999999998,151.95999999999998,151.95999999999998,151.95999999999998,151.95999999999998,151.95999999999998,151.95999999999998,151.95999999999998,151.95999999999998,151.95999999999998,151.95999999999998,151.95999999999998,151.95999999999998,chr1:16395001:16405001
183.03000000000003,183.03000000000003,183.03000000000003,183.03000000000003,183.03000000000003,183.03000000000003,183.03000000000003,183.03000000000003,183.03000000000003,183.03000000000003,183.03000000000003,183.03000000000003,183.03000000000003,chr1:16570001:16580001
91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,91.67,chr1:16690001:16700001
64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,64.77,chr1:17245001:17255001
94.08999999999999,94.08999999999999,94.08999999999999,94.08999999999999,94.08999999999999,94.08999999999999,94.08999999999999,94.08999999999999,94.08999999999999,94.08999999999999,94.08999999999999,94.08999999999999,94.08999999999999,chr1:17380001:17390001
138.56,138.56,138.56,138.56,138.56,138.56,138.56,138.56,138.56,138.56,138.56,138.56,138.56,chr1:17450001:17460001
148.18000000000004,148.18000000000004,148.18000000000004,148.18000000000004,148.18000000000004,148.18000000000004,148.18000000000004,148.18000000000004,148.18000000000004,148.18000000000004,148.18000000000004,148.18000000000004,148.18000000000004,chr1:17730001:17740001
115.75,115.75,115.75,115.75,115.75,115.75,115.75,115.75,115.75,115.75,115.75,115.75,115.75,chr1:17965001:17975001
101.65,101.65,101.65,101.65,101.65,101.65,101.65,101.65,101.65,101.65,101.65,101.65,101.65,chr1:18910001:18920001
117.73999999999998,117.73999999999998,117.73999999999998,117.73999999999998,117.73999999999998,117.73999999999998,117.73999999999998,117.73999999999998,117.73999999999998,117.73999999999998,117.73999999999998,117.73999999999998,117.73999999999998,chr1:19200001:19210001
115.92999999999999,115.92999999999999,115.92999999999999,115.92999999999999,115.92999999999999,115.92999999999999,115.92999999999999,115.92999999999999,115.92999999999999,115.92999999999999,115.92999999999999,115.92999999999999,115.92999999999999,chr1:19660001:19670001
79.56000000000002,79.56000000000002,79.56000000000002,79.56000000000002,79.56000000000002,79.56000000000002,79.56000000000002,79.56000000000002,79.56000000000002,79.56000000000002,79.56000000000002,79.56000000000002,79.56000000000002,chr1:20190001:20200001
44.769999999999996,44.769999999999996,44.769999999999996,44.769999999999996,44.769999999999996,44.769999999999996,44.769999999999996,44.769999999999996,44.769999999999996,44.769999999999996,44.769999999999996,44.769999999999996,44.769999999999996,chr1:21000001:21010001
217.57999999999998,217.57999999999998,217.57999999999998,217.57999999999998,217.57999999999998,217.57999999999998,217.57999999999998,217.57999999999998,217.57999999999998,217.57999999999998,217.57999999999998,217.57999999999998,217.57999999999998,chr1:21535001:21545001
191.34,191.34,191.34,191.34,191.34,191.34,191.34,191.34,191.34,191.34,191.34,191.34,191.34,chr1:21990001:22000001
127.84,127.84,127.84,127.84,127.84,127.84,127.84,127.84,127.84,127.84,127.84,127.84,127.84,chr1:22340001:22350001
152.71000000000004,152.71000000000004,152.71000000000004,152.71000000000004,152.71000000000004,152.71000000000004,152.71000000000004,152.71000000000004,152.71000000000004,152.71000000000004,152.71000000000004,152.71000000000004,152.71000000000004,chr1:23290001:23300001
44.07999999999999,44.07999999999999,44.07999999999999,44.07999999999999,44.07999999999999,44.07999999999999,44.07999999999999,44.07999999999999,44.07999999999999,44.07999999999999,44.07999999999999,44.07999999999999,44.07999999999999,chr1:23620001:23630001
80.87,80.87,80.87,80.87,80.87,80.87,80.87,80.87,80.87,80.87,80.87,80.87,80.87,chr1:23805001:23815001
65.44,65.44,65.44,65.44,65.44,65.44,65.44,65.44,65.44,65.44,65.44,65.44,65.44,chr1:24005001:24015001
65.24000000000001,65.24000000000001,65.24000000000001,65.24000000000001,65.24000000000001,65.24000000000001,65.24000000000001,65.24000000000001,65.24000000000001,65.24000000000001,65.24000000000001,65.24000000000001,65.24000000000001,chr1:24115001:24125001
54.83999999999999,54.83999999999999,54.83999999999999,54.83999999999999,54.83999999999999,54.83999999999999,54.83999999999999,54.83999999999999,54.83999999999999,54.83999999999999,54.83999999999999,54.83999999999999,54.83999999999999,chr1:24375001:24385001
60.010000000000005,60.010000000000005,60.010000000000005,60.010000000000005,60.010000000000005,60.010000000000005,60.010000000000005,60.010000000000005,60.010000000000005,60.010000000000005,60.010000000000005,60.010000000000005,60.010000000000005,chr1:24965001:24975001
30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,30.9,chr1:25720001:25730001
59.82999999999999,59.82999999999999,59.82999999999999,59.82999999999999,59.82999999999999,59.82999999999999,59.82999999999999,59.82999999999999,59.82999999999999,59.82999999999999,59.82999999999999,59.82999999999999,59.82999999999999,chr1:26145001:26155001
145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,145.3,chr1:26360001:26370001
41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,41.9,chr1:26800001:26810001
61.300000000000004,61.300000000000004,61.300000000000004,61.300000000000004,61.300000000000004,61.300000000000004,61.300000000000004,61.300000000000004,61.300000000000004,61.300000000000004,61.300000000000004,61.300000000000004,61.300000000000004,chr1:27310001:27320001
54.339999999999996,54.339999999999996,54.339999999999996,54.339999999999996,54.339999999999996,54.339999999999996,54.339999999999996,54.339999999999996,54.339999999999996,54.339999999999996,54.339999999999996,54.339999999999996,54.339999999999996,chr1:28145001:28155001
85.75,85.75,85.75,85.75,85.75,85.75,85.75,85.75,85.75,85.75,85.75,85.75,85.75,chr1:28570001:28580001
59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,59.69,chr1:29090001:29100001
158.69999999999996,158.69999999999996,158.69999999999996,158.69999999999996,158.69999999999996,158.69999999999996,158.69999999999996,158.69999999999996,158.69999999999996,158.69999999999996,158.69999999999996,158.69999999999996,158.69999999999996,chr1:29560001:29570001
301.22,301.22,301.22,301.22,301.22,301.22,301.22,301.22,301.22,301.22,301.22,301.22,301.22,chr1:31180001:31190001
79.92999999999998,79.92999999999998,79.92999999999998,79.92999999999998,79.92999999999998,79.92999999999998,79.92999999999998,79.92999999999998,79.92999999999998,79.92999999999998,79.92999999999998,79.92999999999998,79.92999999999998,chr1:31410001:31420001
41.870000000000005,41.870000000000005,41.870000000000005,41.870000000000005,41.870000000000005,41.870000000000005,41.870000000000005,41.870000000000005,41.870000000000005,41.870000000000005,41.870000000000005,41.870000000000005,41.870000000000005,chr1:31545001:31555001
187.73000000000002,187.73000000000002,187.73000000000002,187.73000000000002,187.73000000000002,187.73000000000002,187.73000000000002,187.73000000000002,187.73000000000002,187.73000000000002,187.73000000000002,187.73000000000002,187.73000000000002,chr1:31630001:31640001
266.82,266.82,266.82,266.82,266.82,266.82,266.82,266.82,266.82,266.82,266.82,266.82,266.82,chr1:31890001:31900001
97.08000000000001,97.08000000000001,97.08000000000001,97.08000000000001,97.08000000000001,97.08000000000001,97.08000000000001,97.08000000000001,97.08000000000001,97.08000000000001,97.08000000000001,97.08000000000001,97.08000000000001,chr1:32015001:32025001
